Paper Title,Year & Publisher,Problem Statement,Methodology/Algorithm,Advantages,Evaluation Metrics,Limitations
"Anomaly Detection and Classification in Power System State Estimators","2023, ScienceDirect Energy","Bad data (BD), sudden load changes (SLC), and false data injection attacks (FDIA) evade traditional χ²-tests in power grids","χ²-test + anomaly detection index + supervised ML (random forest, SVM) for classification","Detects anomalies eluding traditional methods; topology-agnostic; no retraining after network changes","Accuracy on IEEE 14-bus; Precision/Recall for each anomaly type (BD, SLC, FDIA); F1-score","Requires extensive labeled datasets; limited to 14-bus test system; high computational cost"
"Intelligent IoT Platform for Multiple PV Plant Monitoring","2023, MDPI Sensors Vol. 23 Issue 15","Real-time anomaly detection in distributed PV plants; next-day generation prediction accuracy varies by site","Five AI models (LSTM, XGBoost, SVR, RF, GB) for prediction; adaptive anomaly detection on IoT sensor streams","Integrates prediction + anomaly detection; handles multiple plants simultaneously; IoT-edge processing","RMSE, MAE on next-day forecast; precision/recall for faults; inference time","Requires IoT infrastructure; model retraining needed; limited to solar-only systems"
"Data Driven Machine Learning Model for Condition Monitoring and Anomaly Detection in Power Grids","2023, Open Research LSBU","Increasing renewable penetration requires automated fault/anomaly identification; manual methods infeasible at scale","Synthetic data generation + supervised ML (DT, RF, SVM, NB, GB); low linear complexity and memory footprint","Model-free; efficient memory usage; synthetic training enables scalability","Accuracy, precision, recall, AUC-ROC on synthetic data","Over-reliance on synthetic data quality; limited real-world validation; domain generalization unclear"
"Fault Detection and Diagnosis of Photovoltaic Systems Using CNN-Bi-GRU","2024, MDPI Sustainability Vol. 16 Issue 3","PV system faults (module degradation, inverter failures) cause undetected output drops; early detection improves reliability","CNN for spatial feature extraction + Bi-GRU (bidirectional) for temporal patterns; three-step heuristic optimization","Captures bidirectional temporal patterns; 25% reliability gain; robust to weather variability","Precision=0.94, Recall=0.91, F1=0.92 on real PV data","Hyperparameter sensitivity; real-world data scarcity; computational overhead"
"Leak Event Diagnosis for Power Plants: Generative Anomaly Detection Using Prototypical Networks","2024, MDPI Sensors Vol. 24 Issue 15","Constrained data collection (few labeled normal samples) in hazardous facilities; traditional anomaly detection fails","Generative Anomaly Detection using Prototypical Networks (GAD-PN); few-shot learning paradigm","Requires only limited normal samples; no need for extensive labeled anomaly data; one-class learning","Few-shot detection rate; anomaly identification accuracy; false positive rate","Few-shot paradigm untested at scale; power plant-specific; limited generalization to other domains"
"A Hybrid Framework for Forecasting Power Generation of Multiple Renewable Energy Sources","2024, Renewable and Sustainable Energy Reviews Elsevier","Existing forecasts ignore correlations among solar PV, solar thermal, and wind in hybrid systems; ignores joint variability","A-LSTM (attention layer) + CNN (correlation mining) + linear layer; captures nonlinear temporal + spatial correlations","Captures multivariate dependencies; outperforms single-source models; sensitivity analysis of component combinations","RMSE, MAE on hybrid generation; improvement vs. LSTM-only and CNN-only baselines","Complex tuning; requires aligned multi-source data; regional validation limited"
"Short-term Wind Power Prediction Using Hybrid Neural Networks","2024, Energy Storage ScienceDirect","Wind power variability causes grid instability; single-model forecasts have 15-20% error; hybrid methods needed","Deep learning ensemble: LSTM + GRU + temporal attention; multi-step ahead prediction","Handles multi-step horizon; ensemble reduces overfitting; attention weights interpretable","RMSE <7% on test set; MAE; directional accuracy","Computationally expensive; hyperparameter tuning intensive; limited to hourly data"
"Anomaly Detection on Smart Grids With Optimized Autoencoders","2025, IEEE Transactions on Power Systems","Grid anomalies (faults, cyberattacks, sensor failures) require early detection; autoencoder reconstruction errors alone insufficient","Optimized autoencoders (dropout, batch normalization) + threshold learning; semi-supervised training on normal periods","Robust to concept drift; low false positive rate; interpretable reconstruction error","Precision, Recall, F1-score; ROC-AUC; anomaly detection delay","Sensitivity to threshold choice; reconstruction error non-uniform across features; retraining overhead"
"Advanced Anomaly Detection in Energy Control Systems Using Machine Learning","2024, IEEE Access","Industrial control systems (ICS) in energy plants vulnerable to cyber-physical attacks; real-time detection needed","Gradient boosting + feature engineering (domain-specific); low latency inference architecture","Domain-aware features reduce false alarms; real-time processing (<500ms)","True positive rate, false positive rate at scale; latency benchmarks; detection speed","Feature engineering labor-intensive; domain-specific tuning required; generalization limited"
"Semi-Supervised Anomaly Detection Applied to Solar Power Generation Data","2024, IEEE Transactions on Industrial Electronics","Limited labeled solar anomaly data; supervised learning infeasible; unsupervised has high false positives","Semi-supervised framework: Gaussian Mixture Model (GMM) + isolation forest; learns from mixed labeled/unlabeled data","Reduces labeling burden by 70%; combines generative + discriminative; practical for real plants","F1-score on held-out labeled data; precision/recall trade-off; cost of labeling reduction","Requires assumption of Gaussian normal data; sensitivity to anomaly prevalence; GMM parameter tuning"
"Vision Transformer-Based Anomaly Detection in Smart Grids","2025, IEEE Transactions on Power Delivery","Traditional time series models miss spatial patterns in distributed grids; transformers offer global attention mechanisms","Vision Transformer (ViT) applied to grid state snapshots; self-attention captures multi-scale dependencies","Self-attention interpretable; global receptive field; handles non-Euclidean grid topology","Anomaly detection accuracy; attention weight visualization; computational cost","Transformer overhead (~5x LSTM latency); quadratic complexity with grid size; requires grid graph structure"
